Timestamp,Cycle,Phase,DocNo,Success,LineErrors,Duration_Ms,Elapsed_Sec,BatchId
2026-03-28 23:36:51.136,1,SO,108185,1,0,667,0.7,LT-20260328-233649
2026-03-28 23:36:51.541,1,SO,108186,1,0,401,1.1,LT-20260328-233649
2026-03-28 23:36:51.940,1,SO,108187,1,0,396,1.5,LT-20260328-233649
2026-03-28 23:36:52.355,1,SO,108188,1,0,411,1.9,LT-20260328-233649
2026-03-28 23:36:52.747,1,SO,108189,1,0,388,2.3,LT-20260328-233649
2026-03-28 23:36:53.169,1,SO,108190,1,0,421,2.7,LT-20260328-233649
2026-03-28 23:36:53.558,1,SO,108191,1,0,386,3.1,LT-20260328-233649
2026-03-28 23:36:53.945,1,SO,108192,1,0,381,3.5,LT-20260328-233649
2026-03-28 23:36:54.340,1,SO,108193,1,0,391,3.9,LT-20260328-233649
2026-03-28 23:36:54.766,1,SO,108194,1,0,424,4.3,LT-20260328-233649
2026-03-28 23:36:55.149,1,SO,108195,1,0,381,4.7,LT-20260328-233649
2026-03-28 23:36:55.524,1,SO,108196,1,0,373,5.1,LT-20260328-233649
2026-03-28 23:36:55.977,1,SO,108197,1,0,448,5.5,LT-20260328-233649
