Timestamp,Cycle,Phase,DocNo,Success,LineErrors,Duration_Ms,Elapsed_Sec,BatchId
2026-03-28 23:32:29.047,1,SO,108005,1,0,756,0.8,LT-20260328-233227
2026-03-28 23:32:29.487,1,SO,108006,1,0,439,1.2,LT-20260328-233227
2026-03-28 23:32:29.836,1,SO,108007,1,0,347,1.5,LT-20260328-233227
2026-03-28 23:32:30.203,1,SO,108008,1,0,366,1.9,LT-20260328-233227
2026-03-28 23:32:30.587,1,SO,108009,1,0,383,2.3,LT-20260328-233227
2026-03-28 23:32:30.930,1,SO,108010,1,0,340,2.6,LT-20260328-233227
2026-03-28 23:32:31.362,1,SO,108011,1,0,431,3.1,LT-20260328-233227
2026-03-28 23:32:31.797,1,SO,108012,1,0,432,3.5,LT-20260328-233227
2026-03-28 23:32:32.141,1,SO,108013,1,0,343,3.9,LT-20260328-233227
2026-03-28 23:32:32.496,1,SO,108014,1,0,353,4.2,LT-20260328-233227
2026-03-28 23:32:32.947,1,SO,108015,1,0,449,4.7,LT-20260328-233227
2026-03-28 23:32:33.295,1,SO,108016,1,0,346,5,LT-20260328-233227
2026-03-28 23:32:33.642,1,SO,108017,1,0,346,5.4,LT-20260328-233227
2026-03-28 23:32:33.992,1,SO,108018,1,0,348,5.7,LT-20260328-233227
2026-03-28 23:32:34.456,1,SO,108019,1,0,463,6.2,LT-20260328-233227
2026-03-28 23:32:34.869,1,SO,108020,1,0,412,6.6,LT-20260328-233227
2026-03-28 23:32:35.215,1,SO,108021,1,0,345,6.9,LT-20260328-233227
2026-03-28 23:32:35.577,1,SO,108022,1,0,361,7.3,LT-20260328-233227
2026-03-28 23:32:35.957,1,SO,108023,1,0,378,7.7,LT-20260328-233227
2026-03-28 23:32:36.293,1,SO,108024,1,0,334,8,LT-20260328-233227
2026-03-28 23:32:36.645,1,SO,108025,1,0,351,8.4,LT-20260328-233227
2026-03-28 23:32:36.992,1,SO,108026,1,0,346,8.7,LT-20260328-233227
2026-03-28 23:32:37.391,1,SO,108027,1,0,398,9.1,LT-20260328-233227
2026-03-28 23:32:37.712,1,SO,108028,1,0,319,9.4,LT-20260328-233227
2026-03-28 23:32:38.035,1,SO,108029,1,0,322,9.7,LT-20260328-233227
2026-03-28 23:32:38.369,1,SO,108030,1,0,332,10.1,LT-20260328-233227
2026-03-28 23:32:38.719,1,SO,108031,1,0,349,10.4,LT-20260328-233227
2026-03-28 23:32:39.056,1,SO,108032,1,0,334,10.8,LT-20260328-233227
2026-03-28 23:32:39.397,1,SO,108033,1,0,340,11.1,LT-20260328-233227
