Timestamp,Cycle,Phase,DocNo,Success,LineErrors,Duration_Ms,Elapsed_Sec,BatchId
2026-03-28 23:37:30.592,1,SO,108199,1,0,694,0.7,LT-20260328-233729
2026-03-28 23:37:30.959,1,SO,108200,1,0,365,1.1,LT-20260328-233729
2026-03-28 23:37:31.367,1,SO,108201,1,0,405,1.5,LT-20260328-233729
2026-03-28 23:37:31.790,1,SO,108202,1,0,419,1.9,LT-20260328-233729
2026-03-28 23:37:32.231,1,SO,108203,1,0,439,2.3,LT-20260328-233729
2026-03-28 23:37:32.620,1,SO,108204,1,0,385,2.7,LT-20260328-233729
2026-03-28 23:37:33.006,1,SO,108205,1,0,383,3.1,LT-20260328-233729
2026-03-28 23:37:33.379,1,SO,108206,1,0,369,3.5,LT-20260328-233729
2026-03-28 23:37:33.753,1,SO,108207,1,0,372,3.9,LT-20260328-233729
2026-03-28 23:37:34.123,1,SO,108208,1,0,369,4.2,LT-20260328-233729
2026-03-28 23:37:41.614,1,SO,108210,1,0,7488,11.7,LT-20260328-233729
2026-03-28 23:37:43.103,1,SO,108211,1,0,1486,13.2,LT-20260328-233729
2026-03-28 23:37:43.607,1,SO,108212,1,0,502,13.7,LT-20260328-233729
2026-03-28 23:37:44.007,1,SO,108213,1,0,397,14.1,LT-20260328-233729
2026-03-28 23:37:44.439,1,SO,108214,1,0,431,14.5,LT-20260328-233729
2026-03-28 23:37:44.876,1,SO,108215,1,0,433,15,LT-20260328-233729
2026-03-28 23:37:45.303,1,SO,108216,1,0,424,15.4,LT-20260328-233729
2026-03-28 23:37:45.741,1,SO,108217,1,0,435,15.8,LT-20260328-233729
2026-03-28 23:37:46.193,1,SO,108218,1,0,451,16.3,LT-20260328-233729
2026-03-28 23:37:46.623,1,SO,108219,1,0,428,16.7,LT-20260328-233729
2026-03-28 23:37:47.059,1,SO,108220,1,0,433,17.2,LT-20260328-233729
2026-03-28 23:37:47.506,1,SO,108221,1,0,444,17.6,LT-20260328-233729
2026-03-28 23:37:47.936,1,SO,108222,1,0,426,18,LT-20260328-233729
2026-03-28 23:37:48.360,1,SO,108223,1,0,421,18.5,LT-20260328-233729
2026-03-28 23:37:48.792,1,SO,108224,1,0,429,18.9,LT-20260328-233729
2026-03-28 23:38:03.563,1,SO,108227,1,0,14769,33.7,LT-20260328-233729
2026-03-28 23:38:04.080,1,SO,108228,1,0,516,34.2,LT-20260328-233729
2026-03-28 23:38:04.475,1,SO,108229,1,0,393,34.6,LT-20260328-233729
2026-03-28 23:38:04.884,1,SO,108230,1,0,408,35,LT-20260328-233729
2026-03-28 23:38:05.263,1,SO,108231,1,0,378,35.4,LT-20260328-233729
2026-03-28 23:38:05.685,1,SO,108232,1,0,419,35.8,LT-20260328-233729
2026-03-28 23:38:06.089,1,SO,108233,1,0,401,36.2,LT-20260328-233729
2026-03-28 23:38:06.503,1,SO,108234,1,0,412,36.6,LT-20260328-233729
2026-03-28 23:38:06.896,1,SO,108235,1,0,392,37,LT-20260328-233729
2026-03-28 23:38:07.297,1,SO,108236,1,0,399,37.4,LT-20260328-233729
2026-03-28 23:38:07.678,1,SO,108237,1,0,379,37.8,LT-20260328-233729
2026-03-28 23:38:08.093,1,SO,108238,1,0,414,38.2,LT-20260328-233729
2026-03-28 23:38:08.539,1,SO,108239,1,0,445,38.6,LT-20260328-233729
2026-03-28 23:38:16.262,1,SO,108241,1,0,7720,46.4,LT-20260328-233729
2026-03-28 23:38:16.667,1,SO,108242,1,0,402,46.8,LT-20260328-233729
2026-03-28 23:38:17.090,1,SO,108243,1,0,419,47.2,LT-20260328-233729
2026-03-28 23:38:17.506,1,SO,108244,1,0,413,47.6,LT-20260328-233729
2026-03-28 23:38:17.899,1,SO,108245,1,0,390,48,LT-20260328-233729
2026-03-28 23:38:25.337,1,SO,108247,1,0,7435,55.4,LT-20260328-233729
2026-03-28 23:38:25.790,1,SO,108248,1,0,450,55.9,LT-20260328-233729
2026-03-28 23:38:26.186,1,SO,108249,1,0,395,56.3,LT-20260328-233729
2026-03-28 23:38:26.578,1,SO,108250,1,0,390,56.7,LT-20260328-233729
