Timestamp,Phase,DocNo,Success,Duration_Ms,Elapsed_Sec,BatchId
2026-03-28 23:10:20.685,SO,107786,1,3848,3.9,LT-20260328-231014
2026-03-28 23:10:21.400,SO,107787,1,689,4.6,LT-20260328-231014
2026-03-28 23:10:22.305,SO,107788,1,899,5.5,LT-20260328-231014
2026-03-28 23:10:22.835,SO,107789,1,525,6,LT-20260328-231014
2026-03-28 23:10:23.414,SO,107790,1,575,6.6,LT-20260328-231014
2026-03-28 23:10:23.955,SO,107791,1,535,7.1,LT-20260328-231014
2026-03-28 23:10:24.463,SO,107792,1,503,7.7,LT-20260328-231014
2026-03-28 23:10:25.071,SO,107793,1,601,8.3,LT-20260328-231014
2026-03-28 23:10:25.684,SO,107794,1,607,8.9,LT-20260328-231014
2026-03-28 23:10:26.399,SO,107795,1,694,9.6,LT-20260328-231014
2026-03-28 23:10:26.909,SO,107796,1,507,10.1,LT-20260328-231014
2026-03-28 23:10:27.494,SO,107797,1,581,10.7,LT-20260328-231014
2026-03-28 23:10:28.027,SO,107798,1,526,11.2,LT-20260328-231014
2026-03-28 23:10:28.541,SO,107799,1,506,11.7,LT-20260328-231014
2026-03-28 23:10:29.060,SO,107800,1,516,12.3,LT-20260328-231014
2026-03-28 23:10:29.595,SO,107801,1,529,12.8,LT-20260328-231014
2026-03-28 23:10:30.302,SO,107802,1,699,13.5,LT-20260328-231014
2026-03-28 23:10:30.755,SO,107803,1,447,13.9,LT-20260328-231014
2026-03-28 23:10:31.216,SO,107804,1,456,14.4,LT-20260328-231014
2026-03-28 23:10:31.656,SO,107805,1,435,14.9,LT-20260328-231014
2026-03-28 23:10:32.138,SO,107806,1,478,15.3,LT-20260328-231014
2026-03-28 23:10:32.590,SO,107807,1,448,15.8,LT-20260328-231014
2026-03-28 23:10:33.061,SO,107808,1,466,16.3,LT-20260328-231014
2026-03-28 23:10:33.473,SO,107809,1,408,16.7,LT-20260328-231014
2026-03-28 23:10:33.881,SO,107810,1,402,17.1,LT-20260328-231014
2026-03-28 23:10:34.390,SO,107811,1,503,17.6,LT-20260328-231014
2026-03-28 23:10:34.793,SO,107812,1,400,18,LT-20260328-231014
2026-03-28 23:10:35.312,SO,107813,1,515,18.5,LT-20260328-231014
2026-03-28 23:10:35.725,SO,107814,1,409,18.9,LT-20260328-231014
2026-03-28 23:10:36.197,SO,107815,1,467,19.4,LT-20260328-231014
2026-03-28 23:10:36.645,SO,107816,1,444,19.8,LT-20260328-231014
2026-03-28 23:10:37.074,SO,107817,1,425,20.3,LT-20260328-231014
2026-03-28 23:10:37.412,SO,107818,1,335,20.6,LT-20260328-231014
2026-03-28 23:10:37.843,SO,107819,1,429,21,LT-20260328-231014
2026-03-28 23:10:38.280,SO,107820,1,426,21.5,LT-20260328-231014
2026-03-28 23:10:38.637,SO,107821,1,352,21.8,LT-20260328-231014
2026-03-28 23:10:38.973,SO,107822,1,335,22.2,LT-20260328-231014
2026-03-28 23:10:39.402,SO,107823,1,426,22.6,LT-20260328-231014
2026-03-28 23:10:39.764,SO,107824,1,360,23,LT-20260328-231014
2026-03-28 23:10:40.089,SO,107825,1,324,23.3,LT-20260328-231014
2026-03-28 23:10:40.493,SO,107826,1,400,23.7,LT-20260328-231014
2026-03-28 23:10:40.821,SO,107827,1,326,24,LT-20260328-231014
2026-03-28 23:10:41.139,SO,107828,1,316,24.3,LT-20260328-231014
2026-03-28 23:10:41.466,SO,107829,1,324,24.7,LT-20260328-231014
2026-03-28 23:10:41.794,SO,107830,1,326,25,LT-20260328-231014
2026-03-28 23:10:42.171,SO,107831,1,375,25.4,LT-20260328-231014
2026-03-28 23:10:42.518,SO,107832,1,343,25.7,LT-20260328-231014
2026-03-28 23:10:42.845,SO,107833,1,323,26,LT-20260328-231014
2026-03-28 23:10:43.202,SO,107834,1,353,26.4,LT-20260328-231014
2026-03-28 23:10:43.609,SO,107835,1,405,26.8,LT-20260328-231014
2026-03-28 23:10:43.938,SO,107836,1,326,27.1,LT-20260328-231014
2026-03-28 23:10:44.330,SO,107837,1,387,27.5,LT-20260328-231014
2026-03-28 23:10:44.667,SO,107838,1,334,27.9,LT-20260328-231014
2026-03-28 23:10:45.011,SO,107839,1,342,28.2,LT-20260328-231014
2026-03-28 23:10:45.453,SO,107840,1,437,28.6,LT-20260328-231014
2026-03-28 23:10:45.857,SO,107841,1,399,29.1,LT-20260328-231014
2026-03-28 23:10:46.197,SO,107842,1,336,29.4,LT-20260328-231014
2026-03-28 23:10:46.569,SO,107843,1,368,29.8,LT-20260328-231014
2026-03-28 23:10:46.931,SO,107844,1,360,30.1,LT-20260328-231014
2026-03-28 23:10:47.257,SO,107845,1,323,30.5,LT-20260328-231014
2026-03-28 23:10:47.594,SO,107846,1,334,30.8,LT-20260328-231014
