Timestamp,Cycle,Phase,Docs,Errors,Rate_Per_Sec,Phase_Secs,Cumulative_SO,Cumulative_PO,Cumulative_SO_Errors,Cumulative_PO_Errors,Cumulative_Total_Docs,Cumulative_Total_Lines,Elapsed_Min,BatchId
2026-03-28 23:38:30,1,SO,56,0,0.93,60,56,0,0,0,56,168,1,LT-20260328-233729
2026-03-28 23:39:33,1,PO,78,0,1.22,64,56,78,0,0,134,402,2.1,LT-20260328-233729
